商品ID,商品名称,品类,品牌,成本价_元,售价_元,上架日期
P001,智能手机Pro,电子,TechPro,2499.0,4299.0,2022-01-07
P002,轻薄笔记本,电子,TechPro,3899.0,6499.0,2022-01-22
P003,无线耳机,电子,TechPro,149.0,299.0,2022-02-05
P004,智能手表,电子,TechPro,599.0,1099.0,2022-02-22
P005,平板电脑,电子,TechPro,1899.0,3299.0,2022-02-24
P006,纯棉T恤,服装,StyleFit,29.0,89.0,2022-03-03
P007,牛仔裤,服装,StyleFit,69.0,199.0,2022-03-20
P008,羽绒服,服装,StyleFit,199.0,599.0,2022-04-01
P009,运动鞋,服装,StyleFit,99.0,299.0,2022-05-18
P010,连衣裙,服装,StyleFit,79.0,259.0,2022-05-19
P011,有机大米5kg,食品,GreenFarm,19.0,49.9,2022-06-04
P012,橄榄油礼盒,食品,GreenFarm,49.0,128.0,2022-06-15
P013,坚果大礼包,食品,GreenFarm,39.0,99.0,2022-06-24
P014,进口奶粉,食品,GreenFarm,69.0,168.0,2022-06-27
P015,茶叶礼盒,食品,GreenFarm,59.0,149.0,2022-07-05
P016,乳胶枕,家居,HomeEase,79.0,199.0,2022-07-09
P017,蚕丝被,家居,HomeEase,199.0,499.0,2022-08-04
P018,智能台灯,家居,HomeEase,89.0,229.0,2022-08-08
P019,空气净化器,家居,HomeEase,599.0,1299.0,2022-08-10
P020,收纳柜,家居,HomeEase,149.0,399.0,2022-08-11
P021,保湿面霜,美妆,BeautyGlow,49.0,129.0,2022-08-12
P022,防晒霜SPF50,美妆,BeautyGlow,39.0,99.0,2022-08-24
P023,口红礼盒,美妆,BeautyGlow,59.0,169.0,2022-08-27
P024,精华液,美妆,BeautyGlow,99.0,259.0,2022-09-05
P025,眼霜,美妆,BeautyGlow,69.0,189.0,2022-09-08
P026,瑜伽垫,运动,SportMax,29.0,79.0,2022-09-17
P027,跑步机,运动,SportMax,1299.0,2999.0,2022-09-25
P028,哑铃套装,运动,SportMax,149.0,399.0,2022-09-30
P029,运动手环,运动,SportMax,99.0,249.0,2022-10-03
P030,羽毛球拍,运动,SportMax,79.0,199.0,2022-10-17
P031,Python编程入门,图书,ReadWorld,29.0,69.0,2022-10-31
P032,数据分析实战,图书,ReadWorld,39.0,89.0,2022-11-04
P033,经济学原理,图书,ReadWorld,49.0,99.0,2022-11-12
P034,心理学与生活,图书,ReadWorld,35.0,79.0,2022-11-22
P035,百年孤独,图书,ReadWorld,29.0,55.0,2022-11-28
P036,纸尿裤大包,母婴,BabyCare,39.0,89.0,2022-11-30
P037,婴儿推车,母婴,BabyCare,299.0,699.0,2022-12-05
P038,儿童安全座椅,母婴,BabyCare,399.0,899.0,2022-12-17
P039,早教益智玩具,母婴,BabyCare,79.0,199.0,2022-12-23
P040,婴儿奶粉,母婴,BabyCare,99.0,239.0,2022-12-29
